current_path,filename,inferred_domain,current_category,proposed_action,proposed_destination,reason,confidence,duplicate_candidates,reference_risk,needs_human_review,notes
00_QiEOS/10_governance/10_principles/_index.md,_index.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/20_rules/_index.md,_index.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/30_standards/_index.md,_index.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/30_standards/content_metadata_profile.yaml,content_metadata_profile.yaml,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/30_standards/metadata_rules.yaml,metadata_rules.yaml,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/30_standards/naming_rules.yaml,naming_rules.yaml,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/30_standards/pdf_standards.yaml,pdf_standards.yaml,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/30_standards/repo_rules.yaml,repo_rules.yaml,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/40_policies/_index.md,_index.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/40_policies/agents/agent_governance_policy.md,agent_governance_policy.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/40_policies/architecture/active_runtime_policy.md,active_runtime_policy.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/40_policies/architecture/placement_policy.md,placement_policy.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/40_policies/architecture/registry_policy.md,registry_policy.md,00_QiEOS,10_governance,keep,00_QiEOS,Canonical system-wide registry / classification.,high,,true,false,
00_QiEOS/10_governance/40_policies/architecture/root_navigation_policy.md,root_navigation_policy.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/40_policies/development/bootstrap_policy.md,bootstrap_policy.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/40_policies/development/contribution_policy.md,contribution_policy.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/40_policies/development/merge_policy.md,merge_policy.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/40_policies/operations/legacy_quarantine_policy.md,legacy_quarantine_policy.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/40_policies/operations/lifecycle_policy.md,lifecycle_policy.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/40_policies/operations/qinexus_freeze_policy.md,qinexus_freeze_policy.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/40_policies/security/security_data_access_policy.md,security_data_access_policy.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/50_decisions/ADR-0000_template.md,ADR-0000_template.md,00_QiEOS,10_governance,keep,00_QiEOS,Governance ADR template.,high,,true,false,
00_QiEOS/10_governance/50_decisions/ADR-0001_QiOS_DNA_As_Master_Doctrine_Repo.mdx,ADR-0001_QiOS_DNA_As_Master_Doctrine_Repo.mdx,00_QiEOS,10_governance,keep,00_QiEOS,Architectural Decision Record (System-wide).,high,,false,false,
00_QiEOS/10_governance/50_decisions/ADR-0001_blueprint_scope.md,ADR-0001_blueprint_scope.md,00_QiEOS,10_governance,keep,00_QiEOS,Architectural Decision Record (System-wide).,high,,true,false,
00_QiEOS/10_governance/50_decisions/ADR-0002_single_domain_rule.md,ADR-0002_single_domain_rule.md,00_QiEOS,10_governance,keep,00_QiEOS,Architectural Decision Record (System-wide).,high,,true,false,
00_QiEOS/10_governance/50_decisions/ADR-0003_band_model.md,ADR-0003_band_model.md,00_QiEOS,10_governance,keep,00_QiEOS,Architectural Decision Record (System-wide).,high,,true,false,
00_QiEOS/10_governance/50_decisions/ADR-0004_single_account_modular_mode.md,ADR-0004_single_account_modular_mode.md,00_QiEOS,10_governance,keep,00_QiEOS,Architectural Decision Record (System-wide).,high,,true,false,
00_QiEOS/10_governance/50_decisions/ADR-0005_fleet_orchestration.md,ADR-0005_fleet_orchestration.md,00_QiEOS,10_governance,keep,00_QiEOS,Architectural Decision Record (System-wide).,high,,true,false,
00_QiEOS/10_governance/50_decisions/ADR-0006_narrative_and_knowledge_consolidation.md,ADR-0006_narrative_and_knowledge_consolidation.md,00_QiEOS,10_governance,keep,00_QiEOS,Architectural Decision Record (System-wide).,high,,true,false,
00_QiEOS/10_governance/50_decisions/ADR-0007_unified_front_matter_and_progressive_doc_topology.md,ADR-0007_unified_front_matter_and_progressive_doc_topology.md,00_QiEOS,10_governance,keep,00_QiEOS,Architectural Decision Record (System-wide).,high,,true,false,
00_QiEOS/10_governance/50_decisions/ADR-0008_qilabs_root.md,ADR-0008_qilabs_root.md,00_QiEOS,10_governance,keep,00_QiEOS,Architectural Decision Record (System-wide).,high,,true,false,
00_QiEOS/10_governance/50_decisions/ADR-0009_backup_server_control_plane_and_public_edge_pattern.md,ADR-0009_backup_server_control_plane_and_public_edge_pattern.md,00_QiEOS,10_governance,keep,00_QiEOS,Architectural Decision Record (System-wide).,high,,true,false,
00_QiEOS/10_governance/50_decisions/ADR-0010_qios_namespace_as_routing_metadata_layer.md,ADR-0010_qios_namespace_as_routing_metadata_layer.md,00_QiEOS,10_governance,keep,00_QiEOS,Architectural Decision Record (System-wide).,high,,true,false,
00_QiEOS/10_governance/50_decisions/_index.md,_index.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/60_registry/100_metadata.md,100_metadata.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/60_registry/10_infrastructure_layout.md,10_infrastructure_layout.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,false,false,
00_QiEOS/10_governance/60_registry/110_front_matter.md,110_front_matter.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/60_registry/120_storage.md,120_storage.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,false,false,
00_QiEOS/10_governance/60_registry/130_placement_rules.md,130_placement_rules.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/60_registry/140_exports.md,140_exports.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,false,false,
00_QiEOS/10_governance/60_registry/150_qievidence.md,150_qievidence.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,false,false,
00_QiEOS/10_governance/60_registry/160_vectorization_pipeline.md,160_vectorization_pipeline.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,false,false,
00_QiEOS/10_governance/60_registry/20_bands.md,20_bands.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/60_registry/30_domains.md,30_domains.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/60_registry/40_subdomains.md,40_subdomains.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,true,false,
00_QiEOS/10_governance/60_registry/60_directory_tree.md,60_directory_tree.md,00_QiEOS,10_governance,keep,00_QiEOS,"Constitutional governance, principles, rules, standards, or structural metadata.",high,,false,false,
